name,address
짱오락실 종로점, 서울 종로구 종로14길 5
캑티 가챠샵 종로점, 서울 종로구 종로12길 9
인형뽑기, 서울 종로구 종로 86
캐칭덕, 서울특별시 동작구 국사봉길 4
캐칭덕 경복궁역점, 서울특별시 종로구 자하문로 17
캐칭덕 홍대본점, 서울특별시 마포구 어울마당로 74 금광빌딩
캐칭덕, 경상북도 안동시 광명로 171-3
캐칭덕 구리돌다리점, 경기도 구리시 검배로6번길 19 1층
캐칭덕 부평점, 인천광역시 부평구 부평문화로80번길 16 스타빠루뚜
캐칭덕 용인죽전점, 경기도 용인시 기흥구 죽전로15번길 7-3 상가 1층
캐칭덕 오산시청점, 경기도 오산시 성호대로 130 1층
캐칭덕 화명점, 부산광역시 북구 화명신도시로 130 104호
모모스테이션, 경기도 안산시 단원구 예술대학로 11 해남빌딩
모모스테이션 홍대직영점, 서울특별시 마포구 어울마당로 76-1 석영빌딩
모모스테이션 건대점, 서울특별시 광진구 동일로22길 92
모모스테이션 영종하늘도시점, 인천광역시 중구 하늘중앙로 193 조양타워 107호
모모스테이션 강원동해점, 강원특별자치도 동해시 청운1길 55 104호
모모스테이션 대전은행점, 대전광역시 중구 대종로480번길 38
모모스테이션 울산삼산점, 울산광역시 남구 삼산중로74번길 15 1층 102호
모모게임즈, 경기도 화성시 동탄대로시범길 134 카림애비뉴 1층 1085호
블링팝, 서울특별시 영등포구 당산로 134 1층 101호
블링팝, 서울특별시 양천구 신정중앙로 95
블링팝, 서울특별시 강서구 등촌로5길 2 1층 106호
블링팝, 서울특별시 양천구 목동동로 53 동문굿모닝탑Ⅰ
블링팝 서교점, 서울특별시 마포구 독막로9길 4 1층 101호-102호
블링팝 동덕여대점, 서울특별시 성북구 하월곡동 화랑로13길 10
블링팝 신림점, 서울특별시 관악구 신림동길 8 1층
블링팝 발산점, 서울특별시 강서구 마곡중앙8로 90 110호
블링팝 우장산역점, 서울특별시 강서구 내발산동 강서로 261
블링팝 신정네거리점, 서울특별시 양천구 중앙로 269
블링팝 고척점, 서울특별시 구로구 고척동 72-107
블링팝 역곡점, 경기도 부천시 원미구 역곡로13번길 7 이클래스
블링팝 시흥점, 경기도 시흥시 능곡번영길 26
블링팝 청주동남점, 충청북도 청주시 상당구 중고개로141번길 11-1 제1층 104호
럭키캐치, 서울특별시 강서구 화곡로 318-1
럭키캐치 중앙대점, 서울특별시 동작구 흑석로 109-2 1층 럭키캐치
럭키캐치, 부산광역시 해운대구 센텀북대로 60 1903호
앨리스인원더랜드, 서울특별시 광진구 아차산로 221
앨리스인원더랜드, 서울특별시 서초구 서초대로77길 48
앨리스인원더랜드, 서울특별시 영등포구 영중로4길 9 WD스퀘어
앨리스인원더랜드, 경기도 군포시 산본천로226번길 27
앨리스인원더랜드, 인천광역시 부평구 부평대로20번길 18-1
앨리스인원더랜드, 서울특별시 송파구 올림픽로 265
앨리스인원더랜드, 경기도 용인시 처인구 김량장동 금령로85번길 1
앨리스인원더랜드, 서울특별시 강서구 강서로 385 우성에스비타워 119호
러키비키, 경상북도 포항시 북구 삼호로 204 1층
러키비키 마곡점, 서울특별시 강서구 마곡중앙로 161-11 A동 1층 104호
러키비키 광명하안점, 경기도 광명시 하안로287번길 22 1층 102호
러키비키 일산가로수길점, 경기도 고양시 일산서구 주엽로 80 D동 1층 120호
러키비키 소새울역점, 경기도 부천시 소사구 소사로 119 1층 103호
짱오락실 종로점, 서울특별시 종로구 종로14길 5
짱오락실 성신여대점, 서울특별시 성북구 동소문로20나길 17
짱오락실 홍대점, 서울특별시 마포구 어울마당로 69
짱오락실 상암동 메가박스점, 서울특별시 마포구 성산동 515-3
짱오락실 강남2호점, 서울특별시 강남구 강남대로 442 짱오락실 강남2호점
짱오락실 강남대로점, 서울특별시 강남구 강남대로 428 1층
짱오락실 서울대입구점, 서울특별시 관악구 관악로15길 6 짱오락실 서울대입구점
짱오락실 신림점, 서울특별시 관악구 신림로59길 12
짱오락실 구리돌다리점, 경기도 구리시 검배로6번길 7
짱오락실 하남미사점, 경기도 하남시 미사강변중앙로 180 힐스테이트 미사역 그랑파사쥬 1층 1036호, 1037호
짱오락실 부천점, 경기도 부천시 원미구 부일로 460 2층
짱오락실 부평점, 인천광역시 부평구 부평문화로80번길 27
짱오락실 인천앨리웨이도화점, 인천광역시 미추홀구 숙골로88번길 12 지하 1층 12-19호
짱오락실 안산고잔점, 경기도 안산시 단원구 광덕2로 185 102호~105호
짱오락실 수원역점, 경기도 수원시 팔달구 향교로 13-1 1~3층
짱오락실 에버랜드점, 경기도 용인시 처인구 포곡읍 에버랜드로 199
짱오락실 동탄타임테라스점, 경기도 화성시 동탄중앙로 220 305호
짱오락실 동탄타임테라스2호점, 경기도 화성시 동탄중앙로 200 동탄점 B동 301호
짱오락실 이천점, 경기도 이천시 어재연로37번길 16
영종짱랜드, 인천광역시 중구 공항문화로 127 인스파이어 리조트 2층
짱오락실 영종도인스파이어점, 인천광역시 중구 용유로 700 1층 R-02
짱오락실 천안신부점, 충청남도 천안시 동남구 먹거리11길 37 1층, 2층
짱오락실 청주점, 충청북도 청주시 상당구 성안로 13
짱오락실, 대전광역시 유성구 문화원로 89
짱오락실 대전둔산점, 대전광역시 서구 둔지로 14 102호, 2층
짱오락실 대전점, 대전광역시 중구 대종로480번길 26
짱오락실 대구동성로점, 대구광역시 중구 동성로6길 36 동성로점 짱오락실
짱오락실 대구태왕스파크점, 대구광역시 중구 동성로6길 61 7층
짱오락실 광주첨단점, 광주광역시 광산구 첨단강변로99번길 66 105호~110호
짱오락실 울산성남점, 울산광역시 중구 젊음의거리 48
짱오락실 울산점, 울산광역시 남구 달삼로75번길 13
짱오락실 부산삼정타워점, 부산광역시 부산진구 중앙대로 672
짱오락실 부산광안리점, 부산광역시 수영구 광안해변로278번길 42 101호
